id,created_at,favorites,retweets,retweeted,source,text
847499963894349824,3/30,0,2306,FALSE,Twitter Web Client,"RT @WhiteHouse: Today @POTUS welcomes the Prime Minister of Denmark, @larsloekke, to the White House. https://t.co/htp6HYTbvs"
847511002430214144,3/30,29790,8040,FALSE,Twitter for iPhone,#ConfirmGorsuch #SCOTUS https://t.co/k2FiTsHbBf
847589453883461632,3/30,11709,2598,FALSE,Media Studio,Weekly Address - 10:00 A.M. tomorrow! #MAGA ➡️ https://t.co/umsr7N7YHN https://t.co/2kIysOYVCw
847616591609044993,3/31,11112,2037,FALSE,Twitter for iPhone,Great op-ed from @RepKenBuck. Looks like some in the Freedom Caucus are helping me end #Obamacare. https://t.co/c7z1ZKSlbh
847619539122573312,3/31,12176,2241,FALSE,Twitter for iPhone,"If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform."
847619972985520129,3/31,15521,2926,FALSE,Twitter for iPhone,The meeting next week with China will be a very difficult one in that we can no longer have massive trade....cont➡️https://t.co/dgoliP8yhI
847630605042962432,3/31,19565,4292,FALSE,Twitter for iPhone,Only by enlisting the full potential of women in our society will we be truly able to #MakeAmericaGreatAgain🇺🇸… https://t.co/SFEUiMFDnr
847807361825820672,3/31,0,1430,FALSE,Twitter for iPhone,RT @WhiteHouse: Tune in for @POTUS' Weekly Address at 10am: https://t.co/0iMrRnSa8V https://t.co/9A5GxWlCHk
847821368334983168,3/31,15192,2586,FALSE,Twitter for iPhone,"It was an honor to welcome the Prime Minister of Denmark, Lars Løkke Rasmussen {@larsloekke} to the @WhiteHouse yes… https://t.co/pRWTp4VMwg"
847849421694013440,3/31,20772,5135,FALSE,Twitter for iPhone,A new surge in optimism is sweeping across our land! #MakeAmericaGreatAgain 🇺🇸 https://t.co/abY0G6CQOZ https://t.co/Qm8nUN1k80
847863297454084099,3/31,25862,4806,FALSE,Twitter for iPhone,"Great meeting with a wonderful woman today, former Secretary of State, Condoleezza Rice! #USA🇺🇸 https://t.co/1bMfa21c5E"
847867550213996544,3/31,18460,4379,FALSE,Twitter for iPhone,#ConfirmGorsuch #SCOTUS https://t.co/zXPQH5zSfN
847883708849901568,3/31,0,2042,FALSE,Twitter for iPhone,RT @WhiteHouse: Watch LIVE as @POTUS signs executive orders regarding trade: https://t.co/Ao8fuZWbOQ https://t.co/lwO8BqGaEl
847895681545195521,3/31,16841,3858,FALSE,Twitter for iPhone,Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ➡️… https://t.co/xss8JRYnco
